neighbourhood_cleansed,number_of_hosts,number_of_reviews
Ward 38,[317611697],1
Ward 4,"[    59342   9004230   3326652  10689558   5947217   2516345  16225139
  22709270  16611004  23150476  23321327  27623648  15254219  43425630
  41234984  27095748  45814433  47393254  48942950  48043426  44847648
  49793757  18646992  53409851  46215958  48347001  59557431  55238685
  35795561  56816388  92579918  85245777  96797545  75142954  81317363
  98025396 102717997 104751563 108169622 117442002 113777586 118945601
 120507611 123289942 131775936 130232013  21631110 144038606 102488701
 146873453  15913800  81665382 158860540 162646627 163781606 181506797
 184973558  64072373  25511631 165365156  35296708  61220322  33128821
 217125870  59842438  37666795 222337561   2397423  25671970 239489909
 100648732 243444607 246048750 203035747 165330127 249068941 257986335
  30328811 266007776 282937973 202147739 168086352 305880663  74949249
  15211458 316342263 301080458  11138780  23923393 117395568 323672326
 327562169  28299901 248258992 332031929 255572726  64504075 124369071
 375712591 377742140 398267603 252727436  14106752 416598026 107114038
 430031690 228669954 190160430 433933908  45184580 436719512 142014301
 104882179  30497816 445475516 445654272 430092329 455287636 230763749
  41749438 261535066 459589550  18086845 287553469 266962861 472741780
 475084079]",2500
Ward 43,"[119121005 120321785 212830896 251902396 212642206 155897072 311547168
 156861605 343784266 370861706 376828023 415268971]",42
Ward 44,[145097617 133743827 407451627],62
Ward 45,[108655296],5
Ward 46,"[146736177 127184881 159278175 159314673 172330004  36855478 213740194
 184071233  93537536 235681178 298950459 340918425 474970406]",46
Ward 48,"[ 24608109 106509057 169826451 199846404 230618200 259920664 274959540
 326173975 432546499 400162678 448870409  20192561]",77
Ward 49,"[ 20147811  23413318  52693524  60515130 118778651  95981632 116709100
 116705365 120546314  13882275 118466973 178496966 289448091 211177234]",77
Ward 5,"[    74504  15818381  21219980  32393396  44663213 107155568  50194244
 124366961  50265230  28667936  51969644 227341981 100626271 167985532
 248145024 253192637 263182142 270224373 298813017 302955257   3186966
 177637434 169239078 318675654 134191855 329903726 335087671 148862410
 383701876 413642089 185511130 279401495 179609113 428672647 450927445
 145798637 449798870  34893810 377973035 457216213]",704
Ward 50,[169086427],2
Ward 51,[118466973  13882275 116707525],30
Ward 53,"[ 15559539  17821841  24062212  47615269  48129085  53166318  53687866
  60730574  61639414  53446862  24410654  71287263   8006514   8410637
  57239228  97347050 100800701  98798070  98864071 102998797   5739572
 106004061 105273138  95746498 104878415  70215324 110396910  28934900
 115506585 115878616   4696158 119229522 108397462  30269042 133087274
 139886175 142257987 142412276 151488441 138373049 154079944 155863048
 157594120  46152750 164666408 179733213 183101732 194236844 215158493
 216215923  37385605  60703448   9559938 227399877 245806345 246834628
  40720598  14279113   5660339 166519367  49472487  87253555 131285188
   2138774  21960977   3321107 316318815   7814239 249458047  59765774
  14837108 333758837 243847462 357593019 185511130 370022543 372660367
  92936704  96755464 175883127 378445744 415429613 142372961 388124516
 313508532 398158836 401119179 154700784  57770755 236166198  31566686
 365612588 146110747 174359448 316339413  60880541  77699046 128323575
 435680166 109000542 394933061  55093545  58535367 442019798  22070672
 441010889 162215126 127782342 470363971  66939792  49539582 424270279]",2348
Ward 54,[ 60025611  32186298   5527126 ...   8174599   6409086 381538764],64615
Ward 55,"[ 76083725 226151810  52632625  52022121   4004504   4248754   4806391
   3961453  14322071  10388671  12198212  14929067  20356787  20573182
  12945822   2516345  13846819  22556944  22162026  12306351  23802951
  30699620  36594435  37685572  26938197  39365952  39900444  27208074
  44332441  46275362  50425206  49923775  73686922  52395029  45226886
   9872892  60347564  80292347  91796360  84112762  92579157  94335744
  94056069  94175904  95691437  64911338 102603007 101732830 103940097
 106273190  87209531 119616682 102945201 120867206  72360199  38191974
 138875241  11286005  59041112  14746413  70273914 129117374 150658251
 147466889 148075949 151209095 149668270  64072373 127095029  80634211
    719513 150802729 157590732 105680507  12406973 160617168 163618954
 164682006  57610682 104310535 161702732 113806772 162339172 114197756
  32945494 168174431  34493299  55266598 101497249     59072  50192112
  12545676 169458079 196861768  43789825 182763230 198971884 168909894
  46787922 212262372  91685081  50282000  26256803 150079605 220032524
  22404007 221193320  51824798  82026431 232793988 230988092 235002269
 240022959 245342663  98733903  42094564 242636310  69938433 249213028
  45595866 259396241 222538924 248989882 148636793 265602228  95315590
 274946650 286006059 236556886 283633918  31767263 291257152 243125129
   3276038 165186566 159059804 266007776 129681883 167418497 304140725
 294213816 312248826 310650477 309008452  67175103 313594403 292189253
  29651864 315795844 315838674 215370356   3886732 170026889 346348580
 347529300  25671970 355065756 355406826  12384865 310857378 372159003
  64649266 377915973 102967676 135080793 113002412 321368734 379224035
 120186988 384336693 385366940 385471225 386690765 392799014 100648732
  88619807 231225516  59765774 397639712 410999370 157120105 411668452
 388259598  31327671  67071593  99483733 416454812 308714163 423251430
 427179297  60527712  51293298 216536076 429481155 429494656 431967710
 434082548  74265318 433241208 104037292  26672301   6142274 424790666
 240968781 438857618 403603800 442784941  79766098 443197031 442231635
  16162791 417342834 341955084  99642726  59441669 436158653 261535066
 455291110 376503866 458238896 460564808  63202371 433537192 420772513
 235174416 470017043 107001240 214754940 163874273 471084112 262839594
 471314354 471821958 472898490 246312128 470159968 101942916 340195304
 476355912  74293896 151105063 476629314  87234125 163380481 479608998]",7242
Ward 56,"[ 33264745  92761882 159555690 165346912 218046903 219405848 193824757
 313914707 437437841 465845986]",172
